product_name,Vertical,product_url,City,Price (USD),product_description,product_number_of_review,product_Number_of_bookings,,,
【北投泡湯秘境】少帥禪園雙人湯屋體驗＋雙人午茶／套餐組合,Activities & Experiences,https://www.kkday.com/zh-tw/product/20833,台北,80.47,少帥禪園建於1920年代，曾被日軍當做神風特攻隊出戰前夕的慰安處所，1960年代，東北少帥張學良和其夫人趙一荻曾被幽居住於此。少帥禪園隱身在北投山腳邊的林蔭間，可以遠眺觀音山，關渡平原就像在眼前，來少帥禪園可以享美食、泡好湯、品好茶，會發現離台北的繁華不遠，但是可以擁抱的意與境是如此的近。,-21,,,,
【阿里山觀日出二日遊】阿里山森林遊樂區．奮起湖 ・檜意森活村,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/24949,嘉義,236.9,春天賞花、夏天避暑、秋天攬楓、冬天觀雲，阿里山四季分明，各有不同的景致。千變萬化的阿里山日出、浩瀚無垠的雲海、絢麗多彩的晚霞、蓊鬱參天的森林及聞名世界的阿里山火車等經典行程，等您親自來探訪！,,,,,
【宜蘭夏季限定活動】南澳金岳瀑布溯溪體驗,Activities & Experiences,https://www.kkday.com/zh-tw/product/21711,宜蘭,45.06,來宜蘭不能錯過的絕妙秘境溯溪，行程沿途會經過約到達胸口的潭水、需要較多力氣攀爬的好漢坡及石窟下的瀑布，由專業兼具幽默風趣的在地教練帶領，在安全無慮下體驗最刺激的行程活動，在最充足的準備下讓你玩得盡興。,-2,,,,
【墾丁陸上活動】南灣草地雙人飛球體驗,Activities & Experiences,https://www.kkday.com/zh-tw/product/1672,墾丁,10.73,墾丁南灣草地飛球給你360度天旋地轉的刺激快感是墾丁熱門陸上設施之一。你還認為來墾丁南灣只有玩水嗎？來點不一樣的墾丁體驗，憑KKday電子憑證即可體驗不一樣的墾丁風情。,-11,,,,
【機場接駁首選】國光客運 1819 桃園機場巴士來回套票,Local Transfer,https://www.kkday.com/zh-tw/product/12049,"台北, 多個城市",7.72,國光客運與 KKday 獨家合作，推出 1819 桃園機場客運巴士來回套票！機場巴士 24 小時不間斷來回台北市區，憑票根再享西門町免費接駁，搭乘紅眼班機也能輕鬆抵達。車上附免費 Wi-Fi 及 USB 充電服務，讓你享受舒適便利的交通服務，是小資男女、自由行、出國旅遊最經濟實惠的選擇！,-2767,19.5K+ 個已訂購,,,
【台中－清境交通推薦】台中市區到清境包車接送服務,Local Transfer,https://www.kkday.com/zh-tw/product/3094,"台中, 多個城市",60.79,搭乘台中－清境接駁專車，你可選擇 1-4 人或 5-7 人包車，從台中機場或台中市區直達清境民宿，不必費心規劃交通路線，行李也能輕鬆載運，適合全家大小或三五好友共乘，便利的來回交通服務是團體出遊的好選項！,-51,275 個已訂購,,,
【品品學堂手作體驗】微景設計 摩艾多肉植物復活島手作體驗活動,Activities & Experiences,https://www.kkday.com/zh-tw/product/25142,台北,26.91,【微景設計】設計最新款療癒肉肉花園，把最療癒的多肉植物與 Dum Dum 摩艾完美結合，在玻璃球中，創作出模擬摩艾的所在地－復活島上的土壤及多肉植物，細細品味最療癒的微景世界。,,,,,
【台灣在地小農食材手做】樹合苑・手做豆花,Activities & Experiences,https://www.kkday.com/zh-tw/product/23108,台中,8.94,豆花是台灣家喻戶曉的甜品美食。來到台中，由舊屋綠改造的樹合苑，從認識豆花的原料 黃豆，到手沖豆花，傳統豆花結合DIY課程，讓你享受自己動手做的樂趣，適合全家大小一同來體驗！,-3,,,,
【傳藝2019年夏令營】宜蘭傳藝fun暑假 - 童玩特攻隊,Activities & Experiences,https://www.kkday.com/zh-tw/product/25057,宜蘭,13.52,暑假，是小朋友可以休息玩耍的時間，怎麼樣玩可以達到寓教於樂，可以增進和長輩們之間的話題，可以和夥伴們一齊享受悠閒時光，2019年的傳藝夏令營，特別推出「童玩特攻隊」，除了幫小朋友安排了一連串的探索「古早童玩」的活動外，也讓爸媽回憶童年的美好時光。,,,,,
【綠島豐富三日遊】機車環島・浮潛／半潛艇・BBQ・夜遊觀星尋梅花鹿・朝日海底溫泉,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/24149,綠島,212.43,參加KKday綠島豐富三日行程，在綠島就可以騎乘我們為您準備的機車，在島上四處遊玩，而晚上還有當地專人帶領前往夜訪梅花鹿與螢火蟲、發現當地特有的竹節蟲與水沅花、夜間觀星與發現流星共祈福，當然來到潛水者的天堂，當然不能錯過水上的行程，可以選擇浮潛或半潛艇，體驗綠島美麗的水上風光。,,,,,
【暢遊經典台中】台灣中部日月潭、清境景點包車一日遊（5-8人）,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/19070,台中,157.28,台中包車一日遊帶你暢遊日月潭、清境農場等景點，你可以彈性規劃中台灣旅遊行程，由專業司機帶路，解決中部旅遊交通不便的困擾，若時間充足，司機還會推薦當地私房景點，帶你一口氣玩遍大台中，輕鬆包車自由行！,-89,302 個已訂購,,,
【桃園龜山飛行體驗】IPilot Flight A320/ 737模擬機體驗中心,Activities & Experiences,https://www.kkday.com/zh-tw/product/25702,桃園,37.34,【iPilot Flight Simulator Club 飛行模擬中心】提供接近 1：1 的空中巴士A320 / 波音B737 / 輕航機Cessna 模擬機，極為逼真的飛行模擬體驗，讓一般大眾可以接近真實的飛行，讓飛行不再是遙不可及的夢想。專業教官全程指導，提供中英文雙語體驗導覽，讓你能輕鬆上手，享受親自駕駛飛機的興奮和激動。,,,,,
【絕美秘境探險】台東桑樹溪溯溪半日 / 一日體驗,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/21680,台東,57.94,溯溪前先至東興部落－達魯瑪克，台東唯一魯凱族生活區導覽，再至無汙染且少開發的桑樹溪溯溪體驗，不時還可遇見獼猴與毛蟹，午餐就地享用原住民風味餐，提供半日或全日行程選擇，讓你有吃又有玩，不浪費歡樂的每分每秒。,-1,,,,
【天天出發．1人即成行】野柳地質公園．九份、十分老街一日遊,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/24220,台北,19.28,參加KKday一日行程，一次走訪山海美景：自然奇景聞名的野柳地質公園與孤懸在山丘上、鳥瞰基隆嶼山海險峙，霧雨迷濛的美景而聞名的九份山城；再到十分老街放天燈，讓祝福冉冉升空，並參訪知名老店「維格餅家」所打造的鳳梨酥夢工場DIY鳳梨酥，享受美味糕點！,-2,,,,
【西門町咖啡體驗】手沖咖啡＋享用手作甜點下午茶,F&B,https://www.kkday.com/zh-tw/product/21667,台北,28.32,在西門町體驗手沖咖啡的樂趣，邊享用美味的手作甜點，獲得萬華區城市漫步旅行地圖，讓你認識萬華美好與城區靈魂，進行一場萬華區私藏推薦景點的深度探索！,-6,,,,
【烏來裸湯推薦】馥蘭朵日式裸湯大浴場、午茶套餐,F&B,https://www.kkday.com/zh-tw/product/6617,台北,30,來到烏來泡溫泉，除了私人景觀湯屋的選擇外，露天溫泉也是另一個好去處，馥蘭朵飯店裡的露天溫泉設施，包含了SPA水療池、烤箱、蒸氣室，可以自由您使用，露天的溫泉景觀讓你邊泡溫泉邊欣賞景色，最後再讓美食撫慰你的胃，來溫泉偷個閒吧！,-286,1.5K+ 個已訂購,,,
【平假日皆可使用】宜蘭礁溪冠翔世紀溫泉會館 - 朝日餐廳2人午餐券/下午茶套餐券（現場需 $200）,F&B,https://www.kkday.com/zh-tw/product/23622,宜蘭,18.67,喜歡徜徉於58°C純正碳酸氫錮泉水，靜謐於戶外風呂溫泉的懷抱，或是喜歡景觀湯屋八坪大的享受空間，冷熱雙池設計，給您最尊貴的原湯享樂之旅。,,,,,
【熱門景點包車一日遊】東門城、高美濕地、大坑風景區、宮原眼科、一中商圈（台北出發、台中結束）,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/25220,"台北, 多個城市",206.53,從台北市區自行指定地點出發，在專業且親切司機的帶領下，開啟一日私人專屬包車服務暢遊北台灣，最後在台中市區飯店或夜市下車，是台北到台中CP值最高的選擇！,,,,,
【熱門景點包車一日遊】北港朝天宮、新營糖廠、衛武營藝術中心（台中出發、高雄結束）,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/27633,"台南, 多個城市",214.58,從台中市區自行指定地點出發，親切司導的帶領下，開啟一日私人專屬包車服務暢遊南台灣！,,,,,
【澎湖七美雙心石滬】南海七美一日遊（自由行 / 浮潛）,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/6807,澎湖,35.4,七美月鯉灣擁有著全澎湖最棒的珊瑚礁群，特別的海灣造形，緩和的波浪及溫暖的南風，成為熱帶魚與珊瑚的故鄉，此外七美島嶼上的雙心石滬，也是前往澎湖必去的朝聖地點，美麗夢幻的雙心是戀人必來的景點。,-34,135 個已訂購,,,
【西門町特色豆花店】本願豆花店,F&B,https://www.kkday.com/zh-tw/product/20748,台北,0.93,本願豆花是一間賣著台灣傳統甜點但是卻又不是那麼傳統的豆花店，抬頭看看招牌上寫著『祖傳三代目前第一代』就能感受出老闆對生活的幽默，在這裡雖然只是簡單的傳統豆花，也讓你吃的也很歡樂。,-41,,,,
【熱門景點包車一日遊】麗寶樂園、麗寶Outlet、旱溪夜市 （台北出發、台中結束）,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/25228,"台北, 多個城市",206.53,從台北市區自行指定地點出發，親切司導的帶領下，開啟一日私人專屬包車服務暢遊北台灣！,,,,,
【台灣在地小農食材手做】樹合苑・搖滾烘豆＋手沖咖啡課程體驗,F&B,https://www.kkday.com/zh-tw/product/23034,台中,28.61,來到樹合苑，讓您自己手搖烘一包咖啡豆、手沖一杯咖啡，讓熱愛咖啡的你充分感受咖啡的美好！,-3,,,,
【台灣必吃水果】愛文芒果體驗禮盒組 (台北市/新北市飯店配送),Souvenir,https://www.kkday.com/zh-tw/product/25365,"台北, 多個城市",10.46,台灣先進的農業技術與獨有的天氣，栽種出多種香甜飽滿的水果，而芒果是其中最受外籍旅客喜愛的。除了芒果冰、芒果乾等甜點，來到台灣旅遊你更該嚐嚐新鮮的愛文芒果！不用擔心在超市、夜市買到貴又不新鮮的水果，KKday幫你挑選職人等級愛文芒果，新鮮摘採配送飯店，美味超享受！,-11,,,,
【台中包車半日遊】台中市區彈性 4 小時包車,Local Transfer,https://www.kkday.com/zh-tw/product/3146,台中,83.68,來台中玩剛下飛機就想要立刻跑景點嗎？還是像要包車 4 小時到處台中吃吃喝喝呢？台中包車 4 小時半日遊，讓你簡單享受美好的半天，隨心所欲地欣賞美景、吃美食，快來告訴我們你想要去哪裡吧！,-68,279 個已訂購,,,
【五星級飯店美食推薦】台北凱撒大飯店 - Checkers自助餐餐券（需電話預約）,F&B,https://www.kkday.com/zh-tw/product/24223,台北,21.37,「台北凱撒大飯店‧Checkers」集結世界各國不同的餐飲設計與料理手法，義式料理、日式碳烤、台式鐵板、當季生魚片、海鮮吧、鮮蔬沙拉、四季鮮果、亞洲麵食區、異國熱食區、手工甜點區、法式馬卡龍、法國進口Häagen-Dazs冰淇淋等，更多各國豐盛美食都將在Checkers自助餐一一呈現，挑戰消費者更多元的美食需求。,-1,,,,
【星級美食推薦】礁溪兆品酒店–廣式一品鴨餐券(需電話預約),F&B,https://www.kkday.com/zh-tw/product/25388,宜蘭,67.21,礁溪兆品酒店- 1樓「初食軒餐廳」與「淇武蘭中餐廳」知名廣式一品鴨料理，嚴選宜蘭優質櫻桃鴨再以純熟火候烘烤，讓您吃過一次就愛上！透過 KKday 線上購買餐券，您僅需以手機出示電子憑證、不需列印，即可以用優於現場的價格立即感受星級餐飲的魅力！,,,,,
【台中美食推薦】紅巢燒肉工房–平日限定雙人套餐券(需電話預約),F&B,https://www.kkday.com/zh-tw/product/25392,台中,32.15,紅巢燒肉工房是台中知名的燒肉老店，在大器寫意的舒適環境享用頂級肉品燒烤與豐富附餐選擇，無論您是吃氣氛、吃美味都可一次滿足！透過 KKday 線上購買餐券，您僅需以手機出示電子憑證、不需列印，即可以用優於現場的價格立即感受食尚餐飲的魅力！,,,,,
【大自然親子遊】台灣昆蟲館親子生態導覽體驗,F&B,https://www.kkday.com/zh-tw/product/18356,台北,4.67,台灣昆蟲館鄰近麟光捷運站及富陽自然生態公園，在台北市區即可與孩子一同認識自然生態，由專業講師帶領小朋友，體驗活潑有趣的生物課，近距離接觸昆蟲，感受生物圈的奧妙，你也能從旁參與孩子的學習過程，是生態教育的最佳場館！,-31,155 個已訂購,,,
【日月潭紅茶DIY】HUGOSUM和菓森林紅茶莊園・客製茶包體驗,Activities & Experiences,https://www.kkday.com/zh-tw/product/18991,南投,10.3,來到日月潭和菓森林紅茶莊園，由專業的茶職人帶你回顧魚池鄉豐厚的日月潭紅茶歷史，從嚴謹的製作過程中，見證台灣茶葉文化的演變，還能當場品嚐香醇的日月潭紅茶、親手調配喜愛風味的茶款，製作客製化的精美茶包，體驗傳統又不失有趣的珍貴茶葉文化。,-1,,,,
【經典花蓮必遊】太魯閣奇景拼車一日遊（保證有位）,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/2143,花蓮,30.58,一日暢遊太魯閣國家公園與花東縱谷，從花蓮市區民宿登門接駁，遊覽清水斷崖、長春祠、燕子口、砂卡礑步道等花蓮熱門景點，回程再到七星潭欣賞山海一色美景。專業中英文導遊詳細介紹太魯閣景點，拼車出遊更省旅費！,-583,3.0K+ 個已訂購,,,
【台北西門町 70 年老店】雪王冰淇淋 Snow King 兌換券,F&B,https://www.kkday.com/zh-tw/product/20801,台北,3.86,位於台北西門町的雪王冰淇淋自 1947 年成立以來，秉持純手工、真材實料製作，研發各式冰淇淋以滿足顧客，多達 73 種獨家口味，除了招牌大紅豆、肉鬆口味，另外還有酒的、茶的，甚至還有豬腳及麻油雞口味等，堅持傳統的精神與理念，在KKday預訂專屬組合，一次享受 2 種口味，歡迎你來一同品嚐。,-3,,,,
【嘉義布袋至澎湖船票】嘉義布袋港－澎湖馬公港船 船票,Local Transfer,https://www.kkday.com/zh-tw/product/19952,澎湖,24.14,透過 KKday 預訂往返嘉義布袋港與澎湖馬公港船票，你可選擇單程或三天兩夜來回方案，搭乘舒適客輪，約 80 分鐘船程即可抵達目的地，以最經濟實惠的方式直達澎湖旅遊，享受離島的悠閒景色與度假時光！,-53,251 個已訂購,,,
【高雄市區包車一日遊】旗津、愛河、六合夜市,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/2943,高雄,107.53,高雄市區必去景點包車一日遊，帶你玩遍高雄市區，從高雄民宿出發，帶你到旗津吃海鮮、搭渡輪、西子灣看夕陽、高雄忠烈祠 love 地標拍照，還有中式風格的蓮池潭與龍虎塔，最後帶你到六合夜市、瑞豐夜市品嚐高雄在地夜市小吃，你也可以指定高雄市區景點，包車帶你深度高雄港都風情。,-44,199 個已訂購,,,
【花蓮戶外運動】野猴子 樹冠層探險 (叢林飛躍),Activities & Experiences,https://www.kkday.com/zh-tw/product/23224,花蓮,25.75,樹冠層探險是體驗亞熱帶森林之美的一個遊程，可在樹上平台看見大山、河谷平原及部落景色。在熱忱專業的指導員帶領，您將在這個森林迷宮來回闖關，享受釋放生活壓力的樂趣。,-1,,,,
【台東鹿鳴溫泉酒店】雙人裸湯＋漫步桃花林雙人下午茶,F&B,https://www.kkday.com/zh-tw/product/23498,台東,21.57,「山SPA」位於鹿鳴溫泉酒店六樓，出於台東縱谷西側之中央山脈地層中，為台灣頂級的碳酸氫納泉之一，先在大洋美地低碳餐廳領取美味的下午茶套餐，享受完美食後，再前往體驗舒爽的裸湯體驗，讓你達到真正的頂級放鬆及享受,,,,,
【台北人氣泡湯推薦】北投大地酒店 - 大眾風呂泡湯體驗,Activities & Experiences,https://www.kkday.com/zh-tw/product/20406,台北,51.5,前進北投大地酒店，藉由北投白礦泉質的精華，讓身心放鬆，享受卸下所有的你以及半露天的裸湯空間，同時體驗一年四季細雪紛飛的特殊情境，泡完湯後還能選擇享用悠閒的下午茶時光，並有捷運北投站、新北投站定點接駁專車服務，適合需要放鬆舒壓的你來體驗。,-22,115 個已訂購,,,
【台北近郊一日遊】九份、野柳、十分一日遊（台北出發）,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/19468,"台北, 多個城市",32.19,參加 KKday 專屬台北近郊一日遊，一人亦可輕鬆出遊，從台北搭乘與韓國超人氣卡通《救援小英雄波力 Poli》獨家推出的親子專車，全程由專業中、英雙語隨行人員，帶領來自世界各地的親子家庭一同暢遊北台灣，欣賞野柳地質公園奇特的海蝕景觀，在平溪十分施放祈福天燈，走訪九份老街感受山城的壯麗並品嚐在地美食；孩子還可在旅途中蒐集救援小隊圖章，護照集滿後將可獲得限量 Poli 小禮物，不需煩惱交通問題，輕鬆度過充滿台灣文化風格的特色一日遊。,-144,491 個已訂購,,,
【品品學堂手作體驗】eye candle 調製花草擴香與精油蠟燭,Activities & Experiences,https://www.kkday.com/zh-tw/product/21705,台北,51.57,台灣在地香氛品牌「eye candle」，品牌成立於 2012 年 7 月，以造型和顏色做為設計的出發點，製造出各式有趣的造型香氛蠟燭。對品牌而言蠟燭不僅僅是只有照明、香氛舒壓的功用，它也是一個家飾、一種生活品味的呈現。「eye candle」在散發芬芳香氣的同時，也同樣在與空間、與人對話，像是一件藝術品，提升生活空間的質感。,,,,,
【KKday Express 直達專車】台北101觀景台－國立故宮博物院接駁套票,Local Transfer,https://www.kkday.com/zh-tw/product/19138,台北,3.22,預訂 KKday Express 直達專車套票，你可選擇「台北 101 觀景台」與「國立故宮博物院」單程或來回接駁服務，亦可加購兩處門票，一日內輕鬆遊覽繁榮的台北市區景色與館藏文物豐富的藝術寶庫故宮；不需費時規劃交通路線，每天定時定點發車的專車服務，適合自由行的旅客彈性安排行程！,-481,3.2K+ 個已訂購,,,
【浪漫高雄夜景】搭上愛之船夜遊高雄愛河,Local Transfer,https://www.kkday.com/zh-tw/product/3359,高雄,38.63,高雄愛河為高雄夜晚必遊景點，搭上高雄愛之船，沿途欣賞華燈初上的高雄都市景觀，感受浪漫的遊河體驗，之後來到高雄六合夜市，多樣的小吃與海產店，以美食來感受高雄港都的特色吧！,-5,,,,
【烏來平價泡湯】東風溫泉會館日式大浴場 / 日式湯屋,Activities & Experiences,https://www.kkday.com/zh-tw/product/20962,新北市,9.01,烏來－泰雅族人口中的「 Wulai 」就是指滾燙的溫泉水，此地區的泉質為碳酸氫納泉，具有去角質與促進新陳代謝之效，泡完後能讓肌膚達到柔嫩白皙，是不論四季都可享受的樂趣。東風溫泉會館提供日式大浴場及個人湯屋選擇，且在KKday預訂，還可以優先入場喔！,-8,,,,
【澎湖夏季限定烤肉趴】澎湖福朋喜來登星光港灣 BBQ 吃到飽,F&B,https://www.kkday.com/zh-tw/product/21439,澎湖,28.32,透過 KKday 預訂澎湖福朋喜來登酒店 BBQ 吃到飽方案，享有額外優惠，在海風微微吹拂下，參與夏季限定的星光港灣 BBQ 派對，享受由五星主廚現烤的在地鮮美海鮮料理，搭配清涼啤酒，隨著樂團現場演奏與歌唱，與親朋好友共度難忘的盛夏海島時光，留下美好回憶！,-51,236 個已訂購,,,
【台灣特色鍋物】無老鍋雙人 / 四人 / 六人套餐,F&B,https://www.kkday.com/zh-tw/product/18597,台北,61.12,透過 KKday 事先網路預訂無老鍋套餐，你可依人數選擇雙人 / 四人 / 六人套餐，大啖經典鴛鴦鍋，一次體驗香醇濃郁的冰淇淋豆腐鍋，以及辛香兼備的無老辣香鍋，滿足雙重美味口感；還可無限續加享用薄片鴨血、麵包豆腐；不需耗時現場排隊，盡情體驗台灣特色鍋物——無老鍋的嚴選食材與餐點，留下難忘的味蕾回憶！,-381,1.9K+ 個已訂購,,,
【民宿住宿推薦】花蓮雲山水民宿逸翠軒會館-四人房住宿券,Activities & Experiences,https://www.kkday.com/zh-tw/product/24942,花蓮,64.34,雲山水逸翠軒民宿會館的服務理念「以客為尊、客戶至上、微笑關懷、用心聆聽」，打造養生、文化、藝術、健康的休閒會館。走入雲山水逸翠軒民宿會館，旅人們會發現處處美景，落羽松林、綠蔭步道、夢幻湖、椰林大道、百年桂花樹等等，不同季節有不同的植物花朵盛開。,,,,,
【背包客住宿首選】背包棧旅店西門館 - 雙人房住宿券,Activities & Experiences,https://www.kkday.com/zh-tw/product/24974,台北,37.34,對於精打細算的背包客而言，選擇住宿最重要的莫過於實惠價格與便利交通，背包棧鄰近捷運西門站，步行即可輕鬆抵達，並將客房備品、空間轉化成最實際的住宿優惠。但便宜價格不代表犧牲住宿品質，我們雖然沒有大飯店的奢華與氣派，卻擁有藏在細節之高規格享受。,,,,,
【智慧雙輪遊台南】Gogoro租借服務,Activities & Experiences,https://www.kkday.com/zh-tw/product/23351,台南,12.07,台南最美的風景在巷弄，騎著智慧的 Gogoro 穿梭其間，徹底感受古都的風華與新意！ 來到台南就要鑽巷子，台南最智慧的玩法，租台 Gogoro 趴趴走，深入探訪景點，是更有效率的旅遊方式。 品嚐地道美食、造訪古蹟建築、感受歷史氛圍，及體驗文化氣息。 Gogoro 租借一日遊，智慧又實惠，漫遊古都台南超簡單。,-1,,,,
【熱門景點包車一日遊】六福村、逢甲夜市 （台北出發、台中結束）,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/25229,"台北, 多個城市",225.31,從台北市區自行指定地點出發，親切司導的帶領下，開啟一日私人專屬包車服務暢遊北台灣！,,,,,
【小琉球三日遊】環遊珊瑚島．祕境夜遊．夜觀星空,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/24570,琉球,183.47,被喻為「海上公園」之稱的小琉球，島上除了擁有豐富的海洋生態，還有大自然的神作花瓶岩、龍蝦洞厚石群礁等著名景點，是國內旅遊的最佳選擇。趕快參加KKday 行程，一同感受小琉球的獨特魅力吧。,,,,,
【花蓮太魯閣巡禮】砂卡礑、燕子口步道、清水斷崖、七星潭一日遊,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/24164,花蓮,25.75,這裡是每個花蓮人都會有的記憶，其地位就跟七星潭一樣，如果你小時候在七星潭打過水漂，那你肯定有在太魯閣的牌樓下比過YA！現在，你不用再回憶過去，來探險最新景點吧！,,,,,
【CNN推薦來台必吃】永康街思慕昔系列雪花冰,F&B,https://www.kkday.com/zh-tw/product/18391,台北,5.83,思慕昔是永康街知名芒果冰品牌，使用台灣在地水果及配料，搭配出多層次的豐富口感，榮登CNN推薦來台必吃美食，也是韓國知名綜藝節目Running Man、日本女星渡邊直美、韓國男星宋仲基等知名明星來台指定享用的台灣冰品。,-158,682 個已訂購,,,
【北投溫泉泡湯推薦】荷豐館溫泉渡假飯店-雙人泡湯券（需另行電話訂位）,Activities & Experiences,https://www.kkday.com/zh-tw/product/23453,台北,27.04,座落於北投溫泉的荷豐館溫泉渡假飯店採取中式裝潢建築，從外觀到內部湯屋充滿了濃厚的東方氣息。每間湯屋備有精心打造大型石岩浴池加上流出的白磺泉，在120分鐘內讓您在北投溫泉中得到徹底的解放與放鬆。,,,,,
【台灣上網吃到飽電話卡】台灣大哥大 4G SIM卡＋通話費（桃園機場領取）,Travel Essential,https://www.kkday.com/zh-tw/product/23783,所有城市,8.37,台灣大哥大4G上網SIM卡，不限制流量（不降速），3 / 5 / 6 / 7 / 10天上網卡讓你在旅途中保持網路暢通，提供台灣桃園國際機場領取，讓您下飛機後立刻插卡使用，輕鬆暢遊台灣。,-94,751 個已訂購,,,
【五星級日式料理】高雄翰品酒店 - 品日式料理2人壽喜燒或涮涮鍋 生魚片握壽司吃到飽午餐或晚餐券,F&B,https://www.kkday.com/zh-tw/product/23670,高雄,38.59,集握壽司、壽喜燒、涮涮鍋於一廳，呈現多樣的五星級日式料理。不論您是選擇每日由海港新鮮配送的漁貨做成現點現做的握壽司，或是絕美湯頭與獨家醬料交織美味的壽喜燒、涮涮鍋，都能享受主廚為您精烹的日式美食。,,,,,
【台中－日月潭交通推薦】台中市區到日月潭包車接送服務,Local Transfer,https://www.kkday.com/zh-tw/product/3098,"台中, 多個城市",54.74,搭乘台中－日月潭接駁專車，你可選擇 1-4 人或 5-7 人包車，從台中機場、高鐵站或台中市區直達日月潭觀光，不必費心規劃交通路線，行李也能輕鬆載運，適合全家大小或三五好友共乘，便利的來回交通服務是團體出遊的好選項！,-55,262 個已訂購,,,
【暢遊台灣中部】南投清境 － 日月潭 共乘接送服務,Local Transfer,https://www.kkday.com/zh-tw/product/1754,"台中, 多個城市",14.48,預訂南投觀光共乘接送服務，輕鬆搭乘專車直達台灣中部必遊景點，你可選擇從清境或日月潭出發，免去自駕的疲累與搭乘大眾運輸的麻煩，省時又省力地暢遊中台灣。,-286,1.6K+ 個已訂購,,,
【全台四大兒童最愛主題館】貝兒絲樂園 － 獨家親子互動遊園套票,Activities & Experiences,https://www.kkday.com/zh-tw/product/25496,"台中, 多個城市",20.92,貝兒絲樂園提供給1~8歲寶貝一個優良遊樂環境！安全的遊戲空間和豐富的教材資源，每一個區域都安排細心的服務人員協助，在設備上更是照護零死角，設施皆定期維護，讓遊樂環境安全面面俱到。現在於KKday線上購買套票，僅需於手機出示憑證，即可以優於現場的價格立即享受優質的親子互動場所！,,,,,
【熱門景點包車一日遊】木柵動物園、小人國、台中歌劇院（台北出發、台中結束）,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/25191,"台北, 多個城市",206.53,從台北市區自行指定地點出發，在專業且親切司機的帶領下，開啟一日私人專屬包車服務暢遊北台灣，最後在台中市區飯店或夜市下車，是台北到台中CP值最高的選擇！,,,,,
【高雄國際級纜繩滑水】蓮池潭滑水主題樂園體驗門票,Attraction & Shows,https://www.kkday.com/zh-tw/product/23797,高雄,16.09,位於高雄的蓮潭滑水主題樂園，於2019年對外開放，採用原裝進口德國的Rixen System 2.0，與來自澳洲的 Goride滑水雙系統，皆是倍受業界肯定的國際級專業設備，兼具環保與安全，在 KKday 事先購買，即訂即出使用最方便！,,,,,
【武陵農場一日遊】武陵農場、幾米公園（台北出發）,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/5822,"台北, 多個城市",37.82,預訂武陵農場一日遊，搭乘專車從台北出發，前往武陵農場享受大自然的氛圍，在環雪山山脈而成的高海拔地區欣賞四季各異的特色美景，漫步在空氣清新的山林，徜徉在綠意盎然或繁花盛開的景色，放鬆走進大自然感受無窮的魅力與舒心，回程還可以在幾米主題廣場與精緻的裝置藝術合影，穿梭在還原度極高的繪本場景與人物之間，徹底遠離塵囂、放鬆身心。,-249,951 個已訂購,,,
花蓮太魯閣國家公園一日遊 （台北松山機場來回）,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/19450,"台北, 多個城市",96.56,參與花蓮太魯閣一日遊行程，從台北松山機場出發，由專業的中英雙語導遊帶你走訪太魯閣國家公園，一覽太魯閣牌樓、清水斷崖、長春祠，峽谷中最震懾人心的自然奇觀燕子口與九曲洞，前往七星潭海岸欣賞特殊的弧形海灣與蔚藍海水，選購包含午餐的方案，還可品嚐原住民特色佳餚，晚間遊逛東大門夜市，品嚐台灣道地美食、體驗在地遊戲娛樂，一日輕鬆往返台北、花蓮，親臨台灣八景之一的珍貴峽谷與斷崖地形，輕鬆無負擔地感受花蓮的清幽之美。,-131,484 個已訂購,,,
【台灣北海岸一日遊】野柳、九份、十分、甜點 DIY 之旅（含門票、天燈）,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/3154,"台北, 多個城市",20.76,事先訂購台灣北海岸一日遊，搭乘舒適專車，前往野柳地質公園，一睹女王頭與各式奇岩怪石；走逛九份老街，尋找《神隱少女》劇中場景，品嚐美味芋圓；來到十分施放天燈，虔誠許願；還可體驗 DIY 手作特色甜點，不需煩惱交通方式，一天內輕鬆走訪台北近郊的經典行程！,-1008,4.3K+ 個已訂購,,,
